Number,Actor,Total_Gross,Num_1_film,Gross,Gender
1,Samuel L. Jackson,$6.19 ,The Avengers,$623.40 ,male
2,Harrison Ford,$4.96 ,Star Wars: The Force Awakens,$936.70 ,male
3,"Robert Downey, Jr.",$4.96 ,Avengers: Infinity War,$678.80 ,male
4,Tom Hanks,$4.61 ,Toy Story 3,$415.00 ,male
5,Morgan Freeman,$4.58 ,The Dark Knight,$535.20 ,male
6,Scarlett Johansson,$4.39 ,Avengers: Infinity War,$678.80 ,female
7,Andy Serkis,$4.36 ,Star Wars: The Force Awakens,$936.70 ,male
8,Anthony Daniels,$4.04 ,Star Wars: The Force Awakens,$936.70 ,male
9,Tom Cruise,$4.00 ,War of the Worlds,$234.30 ,male
10,Bradley Cooper,$3.95 ,Avengers: Infinity War,$678.80 ,male
11,Johnny Depp,$3.85 ,Dead Man's Chest,$423.30 ,male
12,Eddie Murphy,$3.81 ,Shrek 2,$441.20 ,male
13,Stanley Tucci,$3.78 ,Beauty and the Beast,$504.00 ,male
14,Idris Elba,$3.69 ,Avengers: Infinity War,$678.80 ,male
15,Ian McKellen,$3.65 ,Beauty and the Beast,$504.00 ,male
16,Don Cheadle,$3.56 ,Avengers: Infinity War,$678.80 ,male
17,Vin Diesel,$3.49 ,Avengers: Infinity War,$678.80 ,male
18,Woody Harrelson,$3.48 ,Catching Fire,$424.70 ,male
19,Cate Blanchett,$3.47 ,Return of the King,$377.80 ,female
20,Gary Oldman,$3.45 ,The Dark Knight,$535.20 ,male
21,Michael Caine,$3.44 ,The Dark Knight,$535.20 ,male
22,Dwayne Johnson,$3.40 ,Jumanji (2017),$404.60 ,male
23,Bruce Willis,$3.33 ,Sixth Sense,$293.50 ,male
24,Zoe Saldana,$3.32 ,Avatar,$760.50 ,female